School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,School Type
"University of California, Berkeley",California,59900.0,112000.0,"$59,500.00","$81,000.00","$149,000.00","$201,000.00",State
Cal Poly San Luis Obispo,California,57200.0,101000.0,"$55,000.00","$74,700.00","$133,000.00","$178,000.00",State
University of California at Los Angeles (UCLA),California,52600.0,101000.0,"$51,300.00","$72,500.00","$139,000.00","$193,000.00",State
"University of California, San Diego (UCSD)",California,51100.0,101000.0,"$51,700.00","$75,400.00","$131,000.00","$177,000.00",State
"University of California, Davis",California,52300.0,99600.0,"$52,000.00","$71,600.00","$135,000.00","$202,000.00",State
"University of California, Irvine (UCI)",California,48300.0,96700.0,"$47,800.00","$66,000.00","$123,000.00","$172,000.00",State
San Jose State University (SJSU),California,53500.0,95600.0,"$50,700.00","$70,500.00","$122,000.00","$156,000.00",State
"University of California, Santa Barbara (UCSB)",California,50500.0,95000.0,"$51,300.00","$71,200.00","$129,000.00","$173,000.00",Party
"University of California, Santa Barbara (UCSB)",California,50500.0,95000.0,"$51,300.00","$71,200.00","$129,000.00","$173,000.00",State
"California State University (CSU), Chico",California,47400.0,88100.0,"$46,800.00","$62,800.00","$122,000.00","$154,000.00",State
"California State University, Fullerton (CSUF)",California,45700.0,87000.0,"$45,400.00","$62,500.00","$119,000.00","$158,000.00",State
San Francisco State University (SFSU),California,47300.0,86400.0,"$45,100.00","$62,700.00","$114,000.00","$150,000.00",State
San Diego State University (SDSU),California,46200.0,85200.0,"$45,500.00","$61,800.00","$116,000.00","$158,000.00",State
"California State University, Long Beach (CSULB)",California,45100.0,84700.0,"$47,400.00","$62,500.00","$113,000.00","$154,000.00",State
"California State University, East Bay (CSUEB)",California,49200.0,84300.0,"$46,000.00","$62,400.00","$115,000.00","$155,000.00",State
"University of California, Santa Cruz (UCSC)",California,44700.0,84100.0,"$46,100.00","$62,000.00","$121,000.00","$165,000.00",State
"California State University, Sacramento (CSUS)",California,47800.0,82400.0,"$42,900.00","$59,600.00","$111,000.00","$154,000.00",State
"University of California, Riverside (UCR)",California,46800.0,81300.0,"$37,200.00","$59,900.00","$109,000.00","$134,000.00",State
